GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ifome,com.grupo21.ifome.CasosDeUso.Servicos.Exceptions,ObjectNotFoundException,9,0,0,0,4,0,2,0,2,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,CategoriaServico,44,0,0,0,6,0,5,0,5,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,RestauranteServico,7,0,0,0,2,0,2,0,2,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,UserDetailsServiceImpl,25,0,2,0,5,0,3,0,2,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,UserServico,11,0,0,0,4,0,2,0,2,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,PedidoServico,89,0,2,0,14,0,6,0,5,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,ClienteServico,50,0,0,0,7,0,5,0,5,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,PosicaoServico,31,0,0,0,3,0,3,0,3,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,ProdutoServico,35,0,0,0,4,0,4,0,4,0
ifome,com.grupo21.ifome.CasosDeUso.Servicos,DBServico,1190,0,0,0,87,0,2,0,2,0
ifome,com.grupo21.ifome.CasosDeUso.Builders,CategoriaBuilder,33,0,0,0,11,0,6,0,6,0
ifome,com.grupo21.ifome.CasosDeUso.Politicas,CalculaCustoCompraDesconto,5,0,0,0,2,0,2,0,2,0
ifome,com.grupo21.ifome.CasosDeUso.Politicas,CalculaCustoCompraBase,23,0,2,0,6,0,3,0,2,0
ifome,com.grupo21.ifome.CasosDeUso.Politicas,CalculaCustoEntrega,44,0,2,0,8,0,3,0,2,0
ifome,com.grupo21.ifome.Entidades,Posicao,36,0,0,0,14,0,8,0,8,0
ifome,com.grupo21.ifome.Entidades,Pedido,157,0,4,0,43,0,20,0,18,0
ifome,com.grupo21.ifome.Entidades,ItemPedido,78,0,0,0,19,0,13,0,13,0
ifome,com.grupo21.ifome.Entidades,Produto,142,0,2,0,42,0,24,0,23,0
ifome,com.grupo21.ifome.Entidades,Cliente,90,0,0,0,32,0,18,0,18,0
ifome,com.grupo21.ifome.Entidades,ItemPedidoPK,24,0,0,0,9,0,7,0,7,0
ifome,com.grupo21.ifome.Entidades,Categoria,71,0,0,0,24,0,13,0,13,0
ifome,com.grupo21.ifome.Entidades,Restaurante,52,0,0,0,15,0,9,0,9,0
ifome,com.grupo21.ifome.config,TestConfig,8,0,0,0,3,0,2,0,2,0
ifome,com.grupo21.ifome.config,DevConfig,15,0,2,0,5,0,3,0,2,0
ifome,com.grupo21.ifome.config,SecurityConfig,173,0,2,0,24,0,7,0,6,0
ifome,com.grupo21.ifome.Interfaces,RestauranteFachadaRemota,77,0,0,0,18,0,9,0,9,0
ifome,com.grupo21.ifome.Interfaces,AuthRecurso,25,0,0,0,5,0,2,0,2,0
ifome,com.grupo21.ifome,IfomeApplication,9,0,0,0,4,0,3,0,3,0
ifome,com.grupo21.ifome.Interfaces.Util,URL,25,0,0,0,8,0,4,0,4,0
ifome,com.grupo21.ifome.security,JWTAuthorizationFilter,61,0,8,0,16,0,7,0,3,0
ifome,com.grupo21.ifome.security,JWTAuthenticationFilter,75,0,0,0,17,0,3,0,3,0
ifome,com.grupo21.ifome.security,JWTUtil,75,0,10,0,21,0,10,0,5,0
ifome,com.grupo21.ifome.security,UserSS,34,0,0,0,14,0,10,0,10,0
ifome,com.grupo21.ifome.security,JWTAuthenticationFilter.JWTAuthenticationFailureHandler,35,0,0,0,7,0,3,0,3,0
ifome,com.grupo21.ifome.DTO,CredenciaisDTO,17,0,0,0,7,0,5,0,5,0
